Alanyl-tRNA synthetases (EC 6.1.1.7)
Class: II
3D known: Yes

SYA1_LACP7  (A9KMW7)    , SYA2_LACP7  (A9KLZ5)    , SYAC_BOMMO  (P21894)    ,
SYA_BURM1   (A9AC16)    , SYA_BURM7   (A3MJ36)    , SYA_BURM9   (A2S3D4)    ,
SYA_BURMA   (Q62KZ3)    , SYA_BURMS   (A1V3F2)    , SYA_BURO0   (B1K026)    ,
SYA_BURO1   (Q1BX19)    , SYA_BURP0   (A3NUB0)    , SYA_BURP1   (Q3JT87)    ,
SYA_BURP6   (A3N8K7)    , SYA_BURPS   (Q63TF9)    , SYA_BURTA   (Q2SV73)    ,
SYA_BURVG   (A4JDM9)    , SYA_CALMQ   (A8MBI2)    , SYA_CALS4   (Q8RAH4)    ,
SYA_CALS8   (A4XKP4)    , SYA_CAMC1   (A7ZE62)    , SYA_CAMC5   (A7GZA4)    ,
SYA_CAMFF   (A0RPR0)    , SYA_CAMHC   (A7I206)    , SYA_CAMJ8   (A8FKT2)    ,
SYA_CAMJD   (A7H4N3)    , SYA_CAMJE   (Q9PI05)    , SYA_CAMJJ   (A1VYL8)    ,
SYA_CAMJR   (Q5HVQ7)    , SYA_CANAL   (Q5A8K2)    , SYA_CARHZ   (Q3AEN8)    ,
SYA_CAUSK   (B0SZN4)    , SYA_CAUVC   (Q9A5C1)    , SYA_CENSY   (A0RX10)    ,
SYA_CERS1   (A3PLJ1)    , SYA_CERS4   (Q3J0R1)    , SYA_CERS5   (A4WV47)    ,
SYA_CHESB   (Q11IW3)    , SYA_CHLAA   (A9WCR2)    , SYA_CHLAB   (Q5L512)    ,
SYA_CHLCH   (Q3ATN3)    , SYA_CHLCV   (Q821R2)    , SYA_CHLFF   (Q255X6)    ,
SYA_CHLL3   (Q3B1I7)    , SYA_CHLMU   (Q9PLH5)    , SYA_CHLPD   (A1BD33)    ,
SYA_CHLPM   (A4SGJ6)    , SYA_CHLPN   (Q9Z714)    , SYA_CHLT2   (B0B8X5)    ,
SYA_CHLTA   (Q3KKU4)    , SYA_CHLTB   (B0BAK4)    , SYA_CHLTE   (Q8KG04)    ,
SYA_CHLTR   (O84754)    , SYA_CHRFK   (A0LXX3)    , SYA_CHRSD   (Q1QZX1)    ,
SYA_CHRVO   (Q7NXM2)    , SYA_CITK8   (A8ANQ1)    , SYA_CLAM3   (A5CRZ5)    ,
SYA_CLAMS   (B0REK2)    , SYA_CLOAB   (Q97IG3)    , SYA_CLOB1   (A7FWJ5)    ,
SYA_CLOB8   (A6LSF6)    , SYA_CLOBA   (B2V3W2)    , SYA_CLOBB   (B2THN0)    ,
SYA_CLOBH   (A5I4Z5)    , SYA_CLOBK   (B1IJG7)    , SYA_CLOBL   (A7GGF1)    ,
SYA_CLOBM   (B1KXB7)    , SYA_CLOD6   (Q18BE7)    , SYA_CLOK5   (A5N7T5)    ,
SYA_CLONN   (A0Q151)    , SYA_CLOP1   (Q0TPH4)    , SYA_CLOPE   (Q8XJH6)    ,
SYA_CLOPS   (Q0SS42)    , SYA_CLOTE   (Q896F2)    , SYA_COLP3   (Q487H5)    ,
SYA_CORDI   (P61699)    , SYA_COREF   (Q8FT23)    , SYA_CORGB   (A4QEK7)    ,
SYA_CORGL   (Q8NQ22)    , SYA_CORJK   (Q4JVF5)    , SYA_CORU7   (B1VDL4)    ,
SYA_COXBN   (A9KG28)    , SYA_COXBR   (A9NCN7)    , SYA_COXBU   (Q83CQ6)    ,
SYA_CROS5   (B1WYQ5)    , SYA_CROS8   (A7MJ41)    , SYA_CUPMC   (Q1LQ59)    ,
SYA_CUPNH   (Q0K823)    , SYA_CUPPJ   (Q474F4)    , SYA_CUTAK   (Q6A8I8)    ,
SYA_CYTH3   (Q11V49)    , SYA_DECAR   (Q47AU8)    , SYA_DEHM1   (Q3ZAE4)    ,
SYA_DEHMB   (A5FSU1)    , SYA_DEHMC   (Q3ZWC3)    , SYA_DEIGD   (Q1IW89)    ,
SYA_DEIRA   (Q9RS27)    , SYA_DELAS   (A9C0B9)    , SYA_DESAP   (B1I370)    ,
SYA_DESHY   (Q24UT2)    , SYA_DESOH   (A8ZY67)    , SYA_DESPS   (Q6AQ16)    ,
SYA_DESRM   (A4J2K4)    , SYA_DESVH   (P61700)    , SYA_DESVV   (A1VEQ6)    ,
SYA_DICNV   (A5EW88)    , SYA_DINSH   (A8LL20)    , SYA_ECO24   (A7ZQC5)    ,
SYA_ECO57   (Q8X3W8)    , SYA_ECODH   (B1XCM5)    , SYA_ECOHS   (A8A3H4)    ,
SYA_ECOK1   (A1AEN7)    , SYA_ECOL5   (Q0TEI3)    , SYA_ECOLC   (B1IUY2)    ,
SYA_ECOLI   (P00957)    , SYA_ECOSM   (B1LQ15)    , SYA_ECOUT   (Q1R804)    ,
SYA_EHRCJ   (Q3YSV8)    , SYA_EHRCR   (Q2GFL5)    , SYA_EHRRG   (Q5FH56)    ,
SYA_EHRRW   (Q5HC27)    , SYA_ELUMP   (B2KAQ0)    , SYA_EMENI   (Q5AQL1)    ,
SYA_ENDTX   (B1GZ43)    , SYA_ENT38   (A4WDQ6)    , SYA_ENTFA   (Q835J8)    ,
SYA_ERYLH   (Q2N9K5)    , SYA_EXIS2   (B1YJE5)    , SYA_FERNB   (A7HN59)    ,
SYA_FINM2   (B0S104)    , SYA_FLAJ1   (A5FIP9)    , SYA_FLAPJ   (A6H0Y3)    ,
SYA_FRAAA   (Q0RF65)    , SYA_FRACC   (Q2J821)    , SYA_FRAP2   (B0TZY8)    ,
SYA_FRASN   (A8LCW4)    , SYA_FRAT1   (Q14HB9)    , SYA_FRATF   (A7NCD9)    ,
SYA_FRATH   (Q2A3A9)    , SYA_FRATM   (B2SH99)    , SYA_FRATN   (A0Q604)    ,
SYA_FRATO   (Q0BLS9)    , SYA_FRATT   (Q5NFW7)    , SYA_FRATW   (A4IZ01)    ,
SYA_FUSNN   (Q8RFJ8)    , SYA_GEOKA   (Q5KWU5)    , SYA_GEOMG   (Q39Z77)    ,
SYA_GEOSL   (P61701)    , SYA_GEOTN   (A4IR80)    , SYA_GEOUR   (A5GD98)    ,
SYA_GLOVI   (Q7NI36)    , SYA_GLUOX   (Q5FQ21)    , SYA_GRABC   (Q0BSD5)    ,
SYA_HAEDU   (Q7VLK0)    , SYA_HAEI8   (Q4QM86)    , SYA_HAEIE   (A5UDR0)    ,
SYA_HAEIG   (A5UHW6)    , SYA_HAEIN   (P43815)    , SYA_HAHCH   (Q2SBT9)    ,
SYA_HALH5   (Q9KDE6)    , SYA_HALHL   (A1WXK5)    , SYA_HALLT   (B9LUG4)    ,
SYA_HALMA   (Q5UZE6)    , SYA_HALS3   (B0R7I0)    , SYA_HALSA   (Q9HN24)    ,
SYA_HALWD   (Q18E76)    , SYA_HELAH   (Q17ZF3)    , SYA_HELHP   (Q7VHV4)    ,
SYA_HELMI   (B0TFY7)    , SYA_HELPH   (Q1CS22)    , SYA_HELPJ   (Q9ZJY5)    ,
SYA_HELPS   (B2UV04)    , SYA_HELPY   (P56452)    , SYA_HERA2   (A9B660)    ,
SYA_HERAR   (A4G2S9)    , SYA_HISS1   (Q0I426)    , SYA_HISS2   (B0UTE1)    ,
SYA_HYDCU   (Q31F91)    , SYA_HYPBU   (A2BN65)    , SYA_HYPNA   (Q0BYM3)    ,
SYA_IDILO   (Q5QUV7)    , SYA_IGNH4   (A8A8X8)    , SYA_JANMA   (A6SVH6)    ,
SYA_JANSC   (Q28QV8)    , SYA_KINRD   (A6WCF7)    , SYA_KLEP7   (A6TCV9)    ,
SYA_KOCRD   (B2GIA1)    , SYA_KORCO   (B1L762)    , SYA_KORVE   (Q1IJG7)    ,
SYA_LACAC   (Q5FLW6)    , SYA_LACDA   (Q1G947)    , SYA_LACDB   (Q048Z3)    ,
SYA_LACGA   (Q045P6)    , SYA_LACH4   (A8YTJ0)    , SYA_LACJO   (P61702)    ,
SYA_LACLA   (Q9CEW0)    , SYA_LACLM   (A2RME6)    , SYA_LACLS   (Q02XE9)    ,
SYA_LACP3   (Q03B02)    , SYA_LACPL   (Q88V10)    , SYA_LATSS   (Q38YN9)    ,
SYA_LAWIP   (Q1MP42)    , SYA_LEGPA   (Q5X4B7)    , SYA_LEGPC   (A5ICV6)    ,
SYA_LEGPH   (Q5ZUJ9)    , SYA_LEGPL   (Q5WVQ2)    , SYA_LEIXX   (Q6AFA1)    ,
SYA_LEPBA   (B0SGD3)    , SYA_LEPBJ   (Q04QG6)    , SYA_LEPBL   (Q054G6)    ,
SYA_LEPBP   (B0SPT4)    , SYA_LEPCP   (B1Y1G9)    , SYA_LEPIC   (P61703)    ,
SYA_LEPIN   (Q8F0T4)    , SYA_LEUCK   (B1MXP8)    , SYA_LEUMM   (Q03YQ2)    ,
SYA_LEVBA   (Q03R43)    , SYA_LIGS1   (Q1WT32)    , SYA_LISIN   (Q92BK9)    ,
SYA_LISMF   (Q71ZG6)    , SYA_LISMO   (Q8Y722)    , SYA_LISW6   (A0AIV3)    ,
SYA_LYSSC   (B1HUK4)    , SYA_MAGMM   (A0L3J9)    , SYA_MAGSA   (Q2W1D9)    ,
SYA_MALP2   (Q8EUR6)    , SYA_MANSM   (Q65VQ5)    , SYA_MARMM   (Q0AQY6)    ,
SYA_MARMS   (A6W1F1)    , SYA_MARN8   (A1TZ92)    , SYA_MESFL   (Q6F0K3)    ,
SYA_MESH2   (Q601M2)    , SYA_MESH7   (Q4A8G4)    , SYA_MESHJ   (Q4AAD3)    ,
SYA_MESM1   (Q6KHK5)    , SYA_META3   (A6UUN3)    , SYA_METAC   (Q8TU79)    ,
SYA_METAR   (Q0W5Q9)    , SYA_METB6   (A7I7S4)    , SYA_METBF   (Q46CS0)    ,
SYA_METBU   (Q12U25)    , SYA_METCA   (Q60BS6)    , SYA_METEP   (A9W5Y4)    ,
SYA_METFK   (Q1H3U9)    , SYA_METHJ   (Q2FQD6)    , SYA_METI4   (B3E044)    ,
SYA_METJA   (Q57984)    , SYA_METKA   (Q8TWY1)    , SYA_METLZ   (A2ST90)    ,
SYA_METM5   (A4FZA5)    , SYA_METM6   (A9A6Q2)    , SYA_METM7   (A6VJ32)    ,
SYA_METMA   (Q8PWU0)    , SYA_METMJ   (A3CVP2)    , SYA_METMP   (P61710)    ,
SYA_METPB   (B1ZC90)    , SYA_METPP   (A2SI90)    , SYA_METRJ   (B1M0N0)    ,
SYA_METS3   (A5UKU6)    , SYA_METS4   (B0UGC4)    , SYA_METS5   (A4YH91)    ,
SYA_METST   (Q2NEW4)    , SYA_METTH   (O27718)    , SYA_METTP   (A0B6X3)    ,
SYA_METVS   (A6US09)    , SYA_MICAN   (B0JI84)    , SYA_MOOTA   (Q2RHZ3)    ,
SYA_MYCA1   (A0QI75)    , SYA_MYCAP   (A5IYK5)    , SYA_MYCBO   (Q7TYB1)    ,
SYA_MYCBP   (A1KLQ3)    , SYA_MYCCT   (Q2SSW4)    , SYA_MYCGA   (Q7NBY8)    ,
SYA_MYCGE   (P47534)    , SYA_MYCGI   (A4TBW4)    , SYA_MYCLE   (Q9CCT0)    ,
SYA_MYCMM   (B2HNC1)    , SYA_MYCMS   (P61704)    , SYA_MYCPA   (P61705)    ,
SYA_MYCPN   (P75368)    , SYA_MYCPU   (Q98Q12)    , SYA_MYCS2   (A0QWQ4)    ,
SYA_MYCS5   (Q4A633)    , SYA_MYCSJ   (A3PZ44)    , SYA_MYCSK   (A1UFI3)    ,
SYA_MYCSS   (Q1B9I0)    , SYA_MYCTA   (A5U5Q5)    , SYA_MYCTO   (P9WFW6)    ,
SYA_MYCTU   (P9WFW7)    , SYA_MYCUA   (A0PPG6)    , SYA_MYCVP   (A1T8E8)    ,
SYA_MYXXD   (Q1D084)    , SYA_NATPD   (Q3ITT7)    , SYA_NATTJ   (B2A5J7)    ,
SYA_NEIG1   (Q5F7C4)    , SYA_NEIM0   (A9M198)    , SYA_NEIMA   (Q9JTG4)    ,
SYA_NEIMB   (Q9JYG6)    , SYA_NEIMF   (A1KV20)    , SYA_NEOSM   (Q2GEP2)    ,
SYA_NITEC   (Q0AHX2)    , SYA_NITEU   (Q82TF8)    , SYA_NITHX   (Q1QMV7)    ,
SYA_NITMS   (A9A565)    , SYA_NITMU   (Q2YD40)    , SYA_NITOC   (Q3JCK8)    ,
SYA_NITSB   (A6Q576)    , SYA_NITWN   (Q3ST43)    , SYA_NOCFA   (Q5YTJ9)    ,
SYA_NOCSJ   (A1SJC7)    , SYA_NOSP7   (B2J876)    , SYA_NOSS1   (Q8YUD4)    ,
SYA_NOVAD   (Q2G8V0)    , SYA_OCEIH   (Q8EPS9)    , SYA_OENOB   (Q04EQ9)    ,
SYA_OLEA2   (Q30YS5)    , SYA_ONYPE   (Q6YQR8)    , SYA_OPITP   (B1ZZ40)    ,
SYA_ORITB   (A5CD03)    , SYA_ORITI   (B3CST3)    , SYA_PAEAT   (A1R709)    ,
SYA_PARC0   (A1TRL4)    , SYA_PARD8   (A6LEZ8)    , SYA_PARDP   (A1AZL6)    ,
SYA_PARL1   (A7HWA5)    , SYA_PARMW   (Q7U3R9)    , SYA_PARP8   (B2JK72)    ,
SYA_PARPJ   (B2SZN0)    , SYA_PARUW   (Q6MB06)    , SYA_PARXL   (Q13W97)    ,
SYA_PASMU   (P57933)    , SYA_PECAS   (Q6D1T0)    , SYA_PEDPA   (Q03ER8)    ,
SYA_PELPD   (A1ATU9)    , SYA_PELTS   (A5D3F4)    , SYA_PELUB   (Q4FMX6)    ,
SYA_PETMO   (A9BJE0)    , SYA_PHOLL   (Q7N7A5)    , SYA_PHOPR   (Q6LMU3)    ,
SYA_PHOV8   (A6L1L8)    , SYA_PICTO   (Q6L1Z4)    , SYA_POLAQ   (A4SZL8)    ,
SYA_POLNA   (A1VQK2)    , SYA_POLSJ   (Q129G8)    , SYA_PORGI   (Q7MV54)    ,
SYA_PROM0   (A3PA95)    , SYA_PROM1   (A2BZG2)    , SYA_PROM2   (A8G242)    ,
SYA_PROM3   (A2CDK7)    , SYA_PROM4   (A9B9E5)    , SYA_PROM5   (A2BTZ9)    ,
SYA_PROM9   (Q31DD9)    , SYA_PROMA   (Q7VEG5)    , SYA_PROMM   (Q7V419)    ,
SYA_PROMP   (Q7V3N0)    , SYA_PROMS   (A2BNH2)    , SYA_PROMT   (Q46I13)    ,
SYA_PSE14   (Q48G25)    , SYA_PSEA6   (Q15RG5)    , SYA_PSEA7   (A6VA71)    ,
SYA_PSEAB   (Q02I63)    , SYA_PSEAE   (Q9I553)    , SYA_PSEE4   (Q1I6Z8)    ,
SYA_PSEF5   (Q4K843)    , SYA_PSELT   (A8F866)    , SYA_PSEMY   (A4XWE2)    ,
SYA_PSEP1   (A5W0D9)    , SYA_PSEPF   (Q3K892)    , SYA_PSEPG   (B0KR43)    ,
SYA_PSEPK   (Q88EI8)    , SYA_PSEPW   (B1JCG9)    , SYA_PSESM   (Q885J0)    ,
SYA_PSET1   (Q3ILF3)    , SYA_PSEU2   (Q4ZQI4)    , SYA_PSYA2   (Q4FRQ0)    ,
SYA_PSYCK   (Q1QA88)    , SYA_PSYIN   (A1T001)    , SYA_PSYWF   (A5WFW1)    ,
SYA_PYRAB   (Q9UY36)    , SYA_PYRAE   (Q8ZSV6)    , SYA_PYRAR   (A4WN07)    ,
SYA_PYRCJ   (A3MXP1)    , SYA_PYRFU   (Q8U425)    , SYA_PYRHO   (O58035)    ,
SYA_PYRIL   (A1RT13)    , SYA_PYRNV   (B1YDH4)    , SYA_RALN1   (Q8Y193)    ,
SYA_RENSM   (A9WSC4)    , SYA_RHIEC   (Q2K7T4)    , SYA_RHIJ3   (Q1MFZ9)    ,
SYA_RHILO   (Q98NQ5)    , SYA_RHILV   (P24075)    , SYA_RHIME   (P27866)    ,
SYA_RHIWR   (A5V3L0)    , SYA_RHOBA   (Q7UFH9)    , SYA_RHOJR   (Q0S0N7)    ,
SYA_RHOP2   (Q2ITM9)    , SYA_RHOP5   (Q07R87)    , SYA_RHOPA   (P61706)    ,
SYA_RHOPB   (Q218Q3)    , SYA_RHOPS   (Q13AB9)    , SYA_RHORT   (Q2RQI0)    ,
SYA_RICAH   (A8GQ73)    , SYA_RICBR   (Q1RKG2)    , SYA_RICCK   (A8F078)    ,
SYA_RICCN   (Q92G00)    , SYA_RICFE   (Q4UJT5)    , SYA_RICM5   (A8F323)    ,
SYA_RICPR   (Q9ZCA4)    , SYA_RICRO   (B0BVK9)    , SYA_RICRS   (A8GU16)    ,
SYA_RICTY   (Q68VQ7)    , SYA_ROSCS   (A7NQA5)    , SYA_ROSDO   (Q165U5)    ,
SYA_ROSS1   (A5UY81)    , SYA_RUBXD   (Q1AWA6)    , SYA_RUEPO   (Q5LRU1)    ,
SYA_RUEST   (Q1GHA1)    , SYA_RUTMC   (A1AXE0)    , SYA_SACD2   (Q21L68)    ,
SYA_SACEN   (A4FBD3)    , SYA_SACS2   (P96041)    , SYA_SALAI   (A8LXY8)    ,
SYA_SALAR   (A9MFZ1)    , SYA_SALCH   (Q57KU6)    , SYA_SALPA   (Q5PF17)    ,
SYA_SALPB   (A9N0C1)    , SYA_SALRD   (Q2S2B6)    , SYA_SALTI   (Q8Z4D5)    ,
SYA_SALTO   (A4X5Z0)    , SYA_SALTY   (Q8ZMK6)    , SYA_SCHPO   (O13914)    ,
SYA_SERP5   (A8GA09)    , SYA_SHEAM   (A1S4E9)    , SYA_SHEB5   (A3D783)    ,
SYA_SHEB8   (A6WR16)    , SYA_SHEB9   (A9KYF8)    , SYA_SHEDO   (Q12PX7)    ,
SYA_SHEFN   (Q085Z9)    , SYA_SHEHH   (B0TK15)    , SYA_SHELP   (A3QC89)    ,
SYA_SHEON   (Q8EBS1)    , SYA_SHEPA   (A8H1T6)    , SYA_SHEPC   (A4Y931)    ,
SYA_SHESA   (A0KU94)    , SYA_SHESH   (A8FSV6)    , SYA_SHESM   (Q0HL60)    ,
SYA_SHESR   (Q0HXF8)    , SYA_SHESW   (A1RHG5)    , SYA_SHEWM   (B1KPS5)    ,
SYA_SHIB3   (B2U049)    , SYA_SHIBS   (Q31X62)    , SYA_SHIDS   (Q32CN1)    ,
SYA_SHIF8   (Q0T1C3)    , SYA_SHIFL   (Q7UBU3)    , SYA_SHISS   (Q3YYG6)    ,
SYA_SHOC1   (Q5WHM8)    , SYA_SINMW   (A6U9N4)    , SYA_SODGM   (Q2NVL2)    ,
SYA_SOLUE   (Q01XA0)    , SYA_SORC5   (A9FRF5)    , SYA_SPHAL   (Q1GSD9)    ,
SYA_STAA1   (A7X328)    , SYA_STAA2   (A6U287)    , SYA_STAA3   (Q2FGA8)    ,
SYA_STAA8   (Q2FXV9)    , SYA_STAA9   (A5ITE3)    , SYA_STAAB   (Q2YT60)    ,
SYA_STAAC   (Q5HFE4)    , SYA_STAAE   (A6QHF9)    , SYA_STAAM   (P67010)    ,
SYA_STAAN   (P67011)    , SYA_STAAR   (Q6GG85)    , SYA_STAAS   (Q6G8V1)    ,
SYA_STAAT   (A8Z4F6)    , SYA_STAAW   (Q8NW87)    , SYA_STAEQ   (Q5HNT2)    ,
SYA_STAES   (Q8CSA7)    , SYA_STAHJ   (Q4L6W5)    , SYA_STAMF   (A3DNI3)    ,
SYA_STAS1   (Q49Y56)    , SYA_STRA1   (Q3K1P7)    , SYA_STRA3   (Q8E600)    ,
SYA_STRA5   (Q8E0C4)    , SYA_STRAW   (Q827S4)    , SYA_STRCO   (Q9KXP9)    ,
SYA_STRGC   (A8AYI8)    , SYA_STRGG   (B1W3I1)    , SYA_STRMK   (B2FL33)    ,
SYA_STRMU   (Q8CWY0)    , SYA_STRP1   (Q99Z57)    , SYA_STRP2   (Q04JW5)    ,
SYA_STRP3   (P0DG24)    , SYA_STRP6   (Q5XBH1)    , SYA_STRP8   (Q8P0E6)    ,
SYA_STRPB   (Q1JB08)    , SYA_STRPC   (Q1JL53)    , SYA_STRPD   (Q1JG77)    ,
SYA_STRPF   (Q1J5Z4)    , SYA_STRPG   (A2RDY3)    , SYA_STRPI   (B1ICI3)    ,
SYA_STRPM   (Q48SS4)    , SYA_STRPN   (Q97Q48)    , SYA_STRPQ   (P0DG25)    ,
SYA_STRPS   (B2IQK0)    , SYA_STRR6   (Q8DPC7)    , SYA_STRS2   (A4W221)    ,
SYA_STRSV   (A3CLY3)    , SYA_STRSY   (A4VVR3)    , SYA_STRT1   (Q5M126)    ,
SYA_STRT2   (Q5M5L5)    , SYA_STRTD   (Q03LZ8)    , SYA_STUS1   (A4VJB3)    ,
SYA_SULAC   (P35029)    , SYA_SULDN   (Q30PA9)    , SYA_SULIA   (C3MZC2)    ,
SYA_SULIK   (C4KIK1)    , SYA_SULIL   (C3MR87)    , SYA_SULIM   (C3MXH6)    ,
SYA_SULIN   (C3NG91)    , SYA_SULIY   (C3N7E3)    , SYA_SULNB   (A6Q747)    ,
SYA_SULSY   (B2V709)    , SYA_SULTO   (Q971J4)    , SYA_SYMTH   (Q67MV8)    ,
SYA_SYNAS   (Q2LPL7)    , SYA_SYNC1   (Q3A1W0)    , SYA_SYNE7   (Q31PW3)    ,
SYA_SYNFM   (A0LLA3)    , SYA_SYNJA   (Q2JTG8)    , SYA_SYNJB   (Q2JLC4)    ,
SYA_SYNP2   (B1XP68)    , SYA_SYNP6   (Q5N4B5)    , SYA_SYNPW   (A5GPF9)    ,
SYA_SYNR3   (A5GWM4)    , SYA_SYNS3   (Q0I6G6)    , SYA_SYNS9   (Q3AVV3)    ,
SYA_SYNSC   (Q3AGN4)    , SYA_SYNWW   (Q0AZQ1)    , SYA_SYNY3   (P74423)    ,
SYA_THEAC   (Q9HJW4)    , SYA_THEFY   (Q47N66)    , SYA_THEKO   (Q5JIL7)    ,
SYA_THEM4   (A6LMH9)    , SYA_THEMA   (Q9X1B6)    , SYA_THEP1   (A5IMH8)    ,
SYA_THEP3   (B0K994)    , SYA_THEPD   (A1RWQ1)    , SYA_THEPX   (B0K0Q1)    ,
SYA_THESQ   (B1LBS9)    , SYA_THET2   (P61707)    , SYA_THET8   (P74941)    ,
SYA_THEVB   (Q8DH56)    , SYA_THEVO   (Q97AH7)    , SYA_THIDA   (Q3SLA9)    ,
SYA_TREDE   (P61708)    , SYA_TREPA   (O83980)    , SYA_TRIEI   (Q10VG8)    ,
SYA_TRIV2   (Q3MGN4)    , SYA_TROW8   (Q83HV0)    , SYA_TROWT   (Q83GD1)    ,
SYA_UREP2   (B1AJ08)    , SYA_UREPA   (Q9PQC2)    , SYA_VEREI   (A1WIG8)    ,
SYA_VESOH   (A5CVU0)    , SYA_VIBC1   (A7MYT5)    , SYA_VIBC3   (A5F9B7)    ,
SYA_VIBCH   (Q56648)    , SYA_VIBPA   (Q87LR3)    , SYA_VIBVU   (Q8DC49)    ,
SYA_VIBVY   (Q7MHR6)    , SYA_WIGBR   (Q8D2W8)    , SYA_WOLPM   (P61709)    ,
