,Partition_1,Partition_2,Partition_3,Partition_4,Partition_5,Partition_Average
Amino Acid Percent K,0.008877423794531531,0.00848831232422833,0.00863946093536891,0.007458716840277997,0.008843254473830614,0.008461433673647477
Amino Acid Percent L,0.009694281492836361,0.009421484719223792,0.009490667036599655,0.01025390866526303,0.010629201348168065,0.00989790865241818
Amino Acid Percent M,0.012460269895293969,0.01138736080104629,0.010560713720320795,0.010368709377935017,0.01077728311731424,0.011110867382382062
Amino Acid Percent N,0.009333992412065919,0.009583831394769935,0.009596238191996492,0.00955086019713449,0.009811878923254512,0.009575360223844271
Amino Acid Percent P,0.010831165605094029,0.01033298609573434,0.010406197558779407,0.009389375838513875,0.010019737772059863,0.010195892574036303
Amino Acid Percent Q,0.015020629847242473,0.01266840718273291,0.013503643519840689,0.015600388061810197,0.012810611960301074,0.013920736114385468
Amino Acid Percent R,0.009199889040774263,0.00804168818713359,0.00894566338271528,0.009279583092384185,0.008662754299512115,0.008825915600503886
Amino Acid Percent S,0.014255794509288648,0.01651138989784627,0.015402717020200714,0.0145109572964439,0.013591273516294869,0.014854426448014879
Amino Acid Percent T,0.008165929288968936,0.008383424360413828,0.008211730766961904,0.007455579944551946,0.007694210230541739,0.007982174918287671
Amino Acid Percent V,0.012363536100972532,0.01259784000329291,0.015010910886779916,0.013335606536617792,0.01435317018385126,0.013532212742302882
Amino Acid Percent W,0.008997567849481714,0.008829239317852997,0.008036133013231523,0.00789217089961009,0.008318283090879019,0.008414678834211067
Amino Acid Percent Y,0.009173925605323718,0.00948175748912796,0.009055293650167402,0.009410767979565382,0.009530084244255149,0.009330365793687923
Molar Extinction Coefficient 1,0.008179609654714719,0.008765954822669751,0.009092820880022437,0.008820798485823489,0.008885999333764895,0.008749036635399058
Molar Extinction Coefficient 2,0.008730488436814093,0.009214739189902385,0.00925367701686914,0.009075910662137728,0.0105568021291947,0.009366323486983609
Secondary Structure helix,0.008705867021418949,0.008112050417611203,0.008409007628946912,0.008138128394319061,0.008060095689645858,0.008285029830388396
Secondary Structure turn,0.011523891181759241,0.012498182345258815,0.010403347945649167,0.010784466071861409,0.010886137264998515,0.01121920496190543
Secondary Structure sheet,0.020360309375872198,0.018263550553327366,0.019896220692644812,0.020252449852263738,0.01939350145550422,0.019633206385922468
aliphatic_aliphatic,0.013617504939302371,0.01222224542687534,0.012399179088070993,0.014500035359483377,0.013709909587761615,0.013289774880298737
aliphatic_positive,0.007736820839391838,0.008198703755076121,0.007952274589863934,0.007707444105960212,0.007928621590118179,0.007904772976082056
aliphatic_negative,0.011262276260679348,0.010599789820363872,0.00911615556869962,0.009554634756646757,0.010262155891309266,0.010159002459539771
aliphatic_uncharged,0.007540494860264701,0.008320982563520091,0.008307349237038863,0.008304966829498061,0.0074489175996132724,0.007984542217986997
aliphatic_aromatic,0.010710557636945011,0.008500164320246252,0.009772939282518328,0.009791193481617156,0.009637487690707946,0.009682468482406939
positive_aliphatic,0.007737887085298467,0.007608216566191146,0.007573290382845554,0.007516082302956235,0.008345093712213083,0.007756114009900897
positive_positive,0.008457830279816714,0.008096559687173516,0.008782905923949046,0.008730116382182762,0.007797722042971575,0.008373026863218723
positive_negative,0.00752950264574239,0.007914907358048315,0.007822967487613651,0.007879895348048182,0.008078496583721112,0.00784515388463473
positive_uncharged,0.009744325703510791,0.009344600672918446,0.010781233739355807,0.009491471036368375,0.010570864536088707,0.009986499137648427
positive_aromatic,0.007773673277330239,0.007663873773044972,0.007155688187205873,0.0076767534203074075,0.008844789411861124,0.007822955613949922
negative_aliphatic,0.009943322375646766,0.011229057519427113,0.010656675839301027,0.0096357737824778,0.010373440132073673,0.010367653929785276
negative_positive,0.007403471588250403,0.0075799098423383286,0.007923894299256252,0.008185947957264988,0.007886817296422426,0.00779600819670648
negative_negative,0.00803928079349159,0.007674170479510133,0.008231563945833206,0.007996268330238733,0.007707489828891942,0.00792975467559312
negative_uncharged,0.008427871634912957,0.009123655867057262,0.008016393334352168,0.007947457686164056,0.00783044457842104,0.008269164620181495
negative_aromatic,0.014661713408868507,0.014881715728806694,0.016456470428519724,0.01709219667468971,0.014662365533678967,0.015550892354912721
uncharged_aliphatic,0.008725676019670716,0.00805944300661026,0.008052566158539942,0.009468092314197858,0.00849229073784243,0.008559613647372243
uncharged_positive,0.008577891339649573,0.008394991102675047,0.009137195047518469,0.01051874934465444,0.010386349979724405,0.009403035362844387
uncharged_negative,0.008327888751944153,0.007539041561605857,0.00860524206991098,0.008345441980987514,0.008916079541341743,0.00834673878115805
uncharged_uncharged,0.01407902839616567,0.014960615891654101,0.01506452815694049,0.010927275323940428,0.013265259648321426,0.013659341483404424
uncharged_aromatic,0.008609650394325083,0.008006724976576547,0.007481812656836897,0.007813464412433458,0.008131371238165425,0.008008604735667483
aromatic_aliphatic,0.014289531105772565,0.015451092717547006,0.01570940841868347,0.013446003699646714,0.013790164150616813,0.014537240018453315
aromatic_positive,0.007221666041041827,0.007762502850491667,0.00928381722341246,0.008127121812253729,0.008118933252067018,0.00810280823585334
aromatic_negative,0.010690051052559591,0.012907190877974714,0.012395365212324478,0.01207353575370686,0.012841874704437628,0.012181603520200656
aromatic_uncharged,0.007817866061985524,0.008291173876116088,0.007620528755094674,0.007602448971738859,0.008423619484972368,0.007951127429981502
aromatic_aromatic,0.008028112443584196,0.008058455024157602,0.008348997083451722,0.007768853400999198,0.007714505732215355,0.007983784736881615
Glycosylation,0.008181968701280788,0.007431512602432057,0.007849659949379216,0.009629036997326194,0.007835923576567745,0.0081856203653972
Cross-link,0.001148585171070521,0.0016221241572046622,0.0011464446686325427,0.001384150275735233,0.0012461461669308245,0.0013094900879147566
Modified residue,0.026513705196741375,0.02652512806606844,0.025340854396784587,0.024152295158136418,0.0244256167222645,0.025391519907999066
Signal,0.002579574341997378,0.0022194314072704383,0.0024221747721189565,0.002431476581099096,0.002159718940732722,0.0023624752086437184
Disulfide bond,0.008680592239641903,0.010022451201247323,0.00931394137149209,0.009370886110549625,0.00879378506438373,0.009236331197462932
O-linked,0.001316598382281079,0.0012963499503885565,0.0010072965958673537,0.0011062333513567689,0.001262213568935046,0.0011977383697657606
N-linked,0.006921732714863511,0.008907301249618272,0.0071694339322488435,0.006499192914883386,0.006614172103266967,0.007222366582976196
C-linked,2.1585464508291915e-05,8.589856423740014e-06,4.333129526800118e-05,4.824463947952593e-06,1.4579686407579122e-05,1.8582153311112963e-05
N-beta-linked,4.7863118447148784e-06,1.1238271204741237e-05,8.971015772375513e-06,3.672100622064695e-05,2.2528983859840733e-05,1.6849117780463863e-05
S-linked,0.0,0.0,0.0,0.0,0.0,0.0
O-alpha-linked,0.0,0.0,0.0,5.627228294992424e-06,0.0,1.1254456589984849e-06
binary_count,0.005705605431905169,0.005842836994195573,0.006048799480216325,0.005817876110248079,0.005960173139279733,0.005875058231168975
binary_experimental_count,0.006757244933133841,0.006363147818496462,0.006864244721720303,0.00701223952203473,0.007603036982911285,0.006919982795659324
xeno_count,0.0035510445242500272,0.0028137899789827127,0.0035379047461547262,0.003856993573814039,0.004086389931342751,0.0035692245509088513
xeno_experimental_count,0.00433984884896958,0.003698274957012768,0.004268754546056299,0.004275826424426916,0.0046939109832118305,0.004255323151935478
degree_binary,0.006051446305616492,0.0052028420589538315,0.004927675896336522,0.0060452238810473945,0.0057650126282490855,0.0055984401540406644
degree_xeno,0.0,0.0,0.0,0.0,0.0,0.0
degree_all,0.006085508381326055,0.005183801215148047,0.005963233759778208,0.005709644807755215,0.006175865916337694,0.005823610816069044
avg_degree_nbr_binary,0.006934955780192634,0.007046339276430463,0.00670069131237,0.008237395925062013,0.007463000502608088,0.00727647655933264
avg_degree_nbr_xeno,0.0,0.0,0.0,0.0,0.0,0.0
avg_degree_nbr_all,0.00682243162770753,0.0075295712852928385,0.006683274189403747,0.008304624435403163,0.007033891132610354,0.007274758534083527
strongly_connected_component_sizes_all,0.0031141932421578306,0.003129468779032666,0.0033879468493847255,0.0031328881760212183,0.004003006155537306,0.0033535006404267495
photoreceptor,6.972328789458348e-05,9.318898276661715e-05,3.56249994605594e-05,4.663900575698779e-05,2.7508441394868594e-05,5.453694345472328e-05
golgo apparatus,0.0010112013951950687,0.0008214300226977157,0.0008873840905227882,0.0008973275847945822,0.001612210182931442,0.0010459106552283195
cytoplasmic vesicle,0.00034673293115574717,0.000538507279155245,0.00039739688143917187,0.0004280815096807562,0.00043435650429591037,0.00042901502114536615
mitochondrion,0.0012936946846281386,0.00174282526875758,0.0011995547784441744,0.0014579360236286235,0.0013208518378033105,0.0014029725186523654
endoplasmic reticulum,0.0008331208942139473,0.0007510579452034203,0.0006870578911552372,0.0006193991367834818,0.0008377231413991386,0.000745671801751045
smooth endoplasmic reticulum membrane,1.607091542713642e-05,0.0,2.1800037911368155e-05,0.0,5.213773709239566e-06,8.616945409548828e-06
dynein axonemal particle,1.7100810279003235e-05,1.2760986036880243e-05,5.080185048977679e-06,7.014473295370494e-05,4.766947365991738e-06,2.197073233691157e-05
late endosome,0.00018782998690413703,0.00014663185306350952,0.000297650074403223,0.00017411567961510873,6.744371424734796e-05,0.00017473426164666523
midbody,0.00011093452076058586,5.551213935036625e-05,0.00010510087659742723,0.0001182329538539934,6.332476568566337e-05,9.062105124960723e-05
myelin membrane,1.4940455275711885e-05,5.621999619291826e-06,0.0,5.712955136310042e-06,0.0,5.2550820062627505e-06
postsynapse,0.00045892970627895953,0.0002962759170894708,0.0003951950545352425,0.0003664604322094121,0.0002684573098454055,0.0003570636839916981
parasitophorous vacuole,0.0,0.0,0.0,0.0,0.0,0.0
melanosome,0.00011757011098959768,0.00016755629062378642,0.00012610419963566858,0.00024712309127968013,0.00011633761642035388,0.00015493826178981734
virion,1.8759471169318044e-05,2.849510979380218e-05,3.064671123672815e-05,2.9181466173190335e-05,2.622226352080358e-05,2.6661004378768453e-05
cytolitic granule,2.685652341235227e-05,1.5192016073791738e-05,1.6119586713438703e-05,0.0,0.0,1.1633625239916541e-05
cytoplasm,0.0010080051100429916,0.0013160343322167695,0.0014416742725203353,0.0013040633590435807,0.0012174104845796016,0.0012574375116806559
preautophagosomal structure,4.5198096419039924e-05,6.345151675458487e-05,3.803919916261354e-05,1.338501518654493e-05,5.328944469762288e-06,3.308055439850911e-05
endosome,0.00024929062077058055,0.0002028484655379436,0.00027424811884896127,0.0002347436341473625,0.0001644420769728287,0.0002251145832555353
recycling endosome,0.00011691477485624189,0.0001280608461687852,0.00021787217228462518,0.00014583439049737086,0.00011625094738470883,0.0001449866262383464
vacuole membrane,4.965201436758022e-06,8.79496937446505e-06,5.416562157023784e-06,5.6034262982185005e-06,5.272687021557313e-06,6.010569257604534e-06
inflammasome,4.923896239585362e-06,5.3691255452077244e-06,4.012179969695872e-05,2.0407224309201218e-05,0.0,1.4164409158190605e-05
chromosome,0.00036484384267737894,0.0003731156865881666,0.00031011374074843974,0.00037806522977634115,0.0004048413261680003,0.00036619596519166535
cell junction,0.00025194089706756387,0.00019279113733888158,0.0002759433131706155,0.00019975048496206855,0.0002879331793997438,0.00024167180238777466
lateral cell membrane,1.1438525522651118e-05,3.7946376742881784e-05,3.030585102907278e-05,8.573229598322212e-05,2.0046408151125654e-05,3.709389148579069e-05
cytoplasmic granule,0.00015486874350090264,7.773443120715299e-05,0.00010540531437231843,5.835149212712239e-05,9.275488933238006e-05,9.782297410797531e-05
cell projection,0.0005500517849722136,0.0005676063494590461,0.0006133086943176627,0.0003638619878031696,0.000421383487288762,0.0005032424607681708
microsome,0.00038020047413546665,0.0003498989956610594,0.00021452610905484421,0.00017095353127751263,0.000408295126932684,0.00030477484741231334
endomembrane system,6.431788420962713e-05,6.432139524269505e-05,9.5101635009813e-05,8.724061648228948e-05,6.371827091091924e-05,7.493996037106877e-05
vacuole,0.0,0.0,0.0,0.0,0.0,0.0
early endosome,0.00018463998608725214,0.00014215467205751697,0.00035281342506294193,0.0003353024914024258,0.0002212796119741708,0.0002472380373168615
zymogen granule,4.2696290481659064e-05,8.433636667081503e-06,0.0,1.6211306686281217e-05,5.299724255260157e-06,1.4528191618056387e-05
secreted,0.0020638456401213807,0.002443756148885263,0.002218183807392505,0.0018879235071858943,0.0021422065470775757,0.0021511831301325238
synapse,0.0002260714951616254,0.00014085321350607927,0.0001484898955467951,0.00019916735564093338,0.00024187454937584247,0.0001912913018462551
membrane,0.0007608004683240222,0.0009146273222886251,0.0007895116160025608,0.0006059326320468887,0.00075863814928229,0.0007659020375888774
peroxisome,0.00012412176669469955,0.00010440060031998521,4.9641611939854734e-05,0.00011349255110558845,2.811198921197723e-05,8.395370385442104e-05
lipid droplet,7.547370446681321e-05,0.00013425488426381443,7.37800362106117e-05,8.269113100876697e-05,6.14593961823878e-05,8.553183042647882e-05
golgi outpost,0.0,5.708626048053149e-06,0.0,5.413087154206087e-06,1.004945905309607e-05,4.234234451071061e-06
target cell membrane,1.0015255845715093e-05,0.0,0.0,0.0,0.0,2.0030511691430187e-06
lysosome,0.00037257579874087893,0.0003794876556345368,0.0004074518639535934,0.0005305777404144163,0.0004036660089057727,0.0004187518135298397
sarcoplasmic reticulum,3.741723213651976e-05,4.585819113615176e-05,8.987829560847002e-05,3.089493035724694e-05,1.0382758569467432e-05,4.2886281561571187e-05
rough endoplasmic reticulum,2.4660193478634787e-05,7.432262209190383e-05,1.043710822690122e-05,1.0159186231349637e-05,4.007069043448212e-05,3.1929960092654317e-05
perikaryon,0.00015310508969347005,0.0001069607037424177,6.937242472677602e-05,0.00013164389499606763,0.00014322693923968143,0.00012086181047968256
cell membrane,0.003309325879900965,0.00341165113586745,0.004147945942689962,0.00439116680499842,0.004032693126439443,0.003858556577979248
cleavage furrow,2.965041188011983e-05,1.642810342919969e-05,7.030082574835302e-05,5.5433639867119924e-05,2.6912527113299934e-05,3.9745101607618484e-05
cornified envelope,0.0,0.0,0.0,0.0,0.0,0.0
extracellular vessicle,1.6134977026983255e-05,0.0,4.656419996752164e-06,2.3458632420778474e-05,8.51508236085059e-06,1.0553022361072895e-05
vesicle,4.5059732116906795e-05,1.4506869642882484e-05,5.729331276139885e-06,9.99830830283124e-06,3.207899534570109e-05,2.14746473368923e-05
presynapse,0.00013853968552029038,6.602603423461859e-05,0.00011829444544070994,6.790731394353275e-05,9.885144488085104e-05,9.792378480400055e-05
nucleus,0.0012821598617507376,0.001069112995092814,0.0009182322926879813,0.0014236798070480566,0.0011616129715431214,0.0011709595856245422
cell surface,9.990433163496756e-05,0.0001233569752254235,0.00019267812735050517,0.0001008474764019256,7.134076884186304e-05,0.00011762553589093699
rrm,0.00022984502356050368,0.00015084456408022396,0.00032764031493177947,0.0004347654942106667,0.0002534797153320752,0.00027931502242304983
acidic residues,0.0005294644898174073,0.00043103602294875025,0.000430028721678097,0.00043701240586825515,0.0004514442910494771,0.00045579718627239733
ph,0.0003328615841475359,0.0002758999127145001,0.00027228560310905227,0.000327940826321599,0.0002738808545973738,0.00029657375617801225
krab,0.0001578431849184846,8.800394777613907e-05,0.00013439475221293853,0.00023710333683381164,0.00010599675712529519,0.0001446683957733338
pdz,9.899008242602008e-05,8.940514767503691e-05,0.0001928653806350375,0.00011213895780328679,6.470907402155701e-05,0.00011162172851218768
btb,0.00046960527725329834,0.0003098598188291147,0.000596144439644593,0.00026129071249326395,0.0002567994389044891,0.0003787399374249518
nuclear localization signal,0.0003460511109167909,0.00026997186965906626,0.0002627653652525775,0.0003870355530002228,0.0003492401459354865,0.0003230128089528288
fibronectin type-iii,0.00018720368345760452,0.00014357930076057428,0.00013071221477490045,0.0002029513812241344,0.00017630100010327486,0.00016814951606409768
disordered,0.0032318553806439114,0.0034694835146559773,0.003022176537124588,0.003691634888524578,0.0030648051531511557,0.0032959910948200423
ig-like v-type,0.00020325352488648898,0.00022474969734666755,0.00021205742964953097,0.0001848807336941077,0.00026346642229997636,0.0002176815615753543
ef-hand,0.0004725689678164709,0.0002732294619180543,0.0003364870177805337,0.00036254938807855344,0.00036917605544785174,0.0003628021782082928
sh3,0.00041539739287859735,0.0003246294682948398,0.0002461920673908966,0.0002843238755616779,0.00023187387906047194,0.00030048333663729675
ig-like,0.000257448931467282,0.00027650096063771174,0.00018335639622003757,0.0003841189726827387,0.0002644864614498016,0.00027318234449151427
pro residues,0.0006013817942453834,0.0006441970411314386,0.0004912013855218652,0.000848231635324941,0.0007719704826080107,0.0006713964677663278
protein kinase,0.01480618104912846,0.013009418433648579,0.01745984822199173,0.014689075931492615,0.013750333977823902,0.014742971522817056
ig-like c2-type,0.0004871758932717925,0.0003761052226418485,0.0003891573994548232,0.0005177886107760716,0.0005276379016856457,0.00045957300556603625
basic and acidic residues,0.0013040536690887587,0.0011511379509337588,0.001231793813931331,0.0013352122983716459,0.0012317208860636118,0.0012507837236778213
basic residues,0.00021121652746428185,0.00020972937382021225,0.0002054681643394547,0.000266933239637584,0.00023709693003634837,0.00022608884705957623
egf-like,0.00026305859958502094,0.0002783162528753002,0.00018057348934146097,0.00021432408266086337,0.00019151165068471502,0.0002255568150294721
polar residues,0.0016652960090427712,0.002021306844107099,0.001753315373868832,0.001922096228833618,0.0018258238404852167,0.0018375676592675074
Mean,0.016620109018121595,0.01574517870610489,0.01828614482051741,0.01810472432248587,0.017208790507372923,0.01719298947492054
Mode,0.00843583525968707,0.008165317502634916,0.008312170963678304,0.007790776936196913,0.008242734846891695,0.00818936710181778
Min,0.008515347154043746,0.00919431867399228,0.008794146929182007,0.007876838713005084,0.008157548119701317,0.008507639917984887
Max,0.008541740564036768,0.00757822718330305,0.008281317682903421,0.008291950531585329,0.00862063230449391,0.008262773653264496
Variance,0.008096291866446392,0.008392028180031865,0.008008998573159908,0.008304458491146381,0.0076296607900638155,0.008086287580169674
Median,0.01581922979447842,0.015462641647291293,0.018282738323291223,0.017378782365409753,0.015867613472888394,0.01656220112067182
Standard Deviation,0.00833830205637623,0.007835157276899745,0.00810585260000759,0.007387284489075199,0.007788663124023911,0.007891051909276536
Range,0.007912090044068096,0.008013650726705028,0.007671584021791776,0.007519332833797992,0.007177529311517552,0.007658837387576089
Min gap,0.0077755068314674745,0.008244865180513638,0.007566523903262678,0.007971734846484554,0.008410519111053788,0.007993829974556426
Max gap,0.008649439536574108,0.00814737369931831,0.0079324019475208,0.008185307933412603,0.008168989550321814,0.008216702533429526
Average gap,0.007486931913751128,0.008381317654283271,0.008001518492497922,0.008192725183954782,0.008306153393697772,0.008073729327636975
Min 2-hop gap,0.008038652622982872,0.007778792963463235,0.008203708316120002,0.008017119365012433,0.007559010818179385,0.007919456817151584
Max 2-hop gap,0.007807561592674277,0.00840537594918628,0.00835534101802669,0.007734098471948586,0.007909688008246594,0.008042413008016485
Average 2-hop gap,0.008521719477122554,0.007808284037719262,0.008110720249420838,0.008119344640906368,0.009323114103223323,0.00837663650167847
Latent_Value_1,0.006671297638666509,0.005916872893282672,0.006469463546630909,0.006567060987947963,0.006384526807763115,0.006401844374858234
Latent_Value_2,0.0057685596757750205,0.007161627076610221,0.00547536594656913,0.006012612268689523,0.005974033247986638,0.006078439643126107
Latent_Value_3,0.005846689358139491,0.006477202941626955,0.006054261996663645,0.006573769419114813,0.006086432671935548,0.00620767127749609
Latent_Value_4,0.007184808448660168,0.0071757581075269005,0.0067651629353337765,0.0069019498997473505,0.006562130284468849,0.0069179619351474085
Latent_Value_5,0.005931385863051844,0.006542945505107332,0.005991502115070434,0.00624692837737587,0.006510743219973154,0.006244701016115727
Latent_Value_6,0.007189664614613003,0.007111058182718206,0.007146778435616189,0.007687261764929443,0.007336804121250842,0.0072943134238255365
Latent_Value_7,0.007067873994997411,0.007313937171460344,0.006753504971429405,0.006849313237735958,0.006420251236546105,0.006880976122433845
Latent_Value_8,0.006293176960245184,0.006351130102138344,0.006407170532143707,0.006165053660599606,0.007273793064922444,0.006498064864009857
Latent_Value_9,0.00792681806282185,0.007785506011004579,0.008122807243462014,0.0075348288453133405,0.007442864727338289,0.007762564977988014
Latent_Value_10,0.005923343530830208,0.006262149965996124,0.006295382935656173,0.005976568519597065,0.005515927800827275,0.005994674550581369
Latent_Value_11,0.006846580263441182,0.008061234312614235,0.006806735731558096,0.00760020554038407,0.007521692503310112,0.00736728967026154
Latent_Value_12,0.006193481235556298,0.006205956308230637,0.0062223710813813626,0.006186550652526486,0.00638722870202678,0.006239117595944312
Latent_Value_13,0.006590477358106358,0.006882884635477421,0.006640818451611591,0.006795673895757443,0.006182692518572354,0.0066185093719050335
Latent_Value_14,0.006410576917479196,0.007075645658263939,0.006721460439682052,0.006735274870735583,0.006569689296997958,0.006702529436631746
Latent_Value_15,0.006908187733964325,0.00605871046036884,0.007036564871299096,0.006808714752699482,0.006197146403329884,0.006601864844332325
Latent_Value_16,0.007104854174074959,0.00705118278089858,0.006745636824690291,0.0071232641324516085,0.0070302485080582875,0.007011037284034745
Latent_Value_17,0.005703821764372849,0.006006563089188549,0.006122531006279903,0.00622943434101798,0.005944602601889769,0.00600139056054981
Latent_Value_18,0.005907447857326763,0.006642277543744314,0.005750905447634474,0.005574719361362209,0.0057531815016281275,0.005925706342339178
Latent_Value_19,0.0069183779128543345,0.006644606693275506,0.006811976275488803,0.006520395607172939,0.006828677215965339,0.006744806740951384
Latent_Value_20,0.006255113952432314,0.006487687819134745,0.006468640741003581,0.006398674148065335,0.006782253589016915,0.0064784740499305785
