--------------------------------------------------------------------------------
        UniProt - Swiss-Prot Protein Knowledgebase
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
        European Bioinformatics Institute (EBI); Hinxton, United Kingdom
        Protein Information Resource (PIR); Washington DC, USA
--------------------------------------------------------------------------------

Description: Translation initiation factors: list of entries
Name:        initfact.txt
IF1_BURMS   (A1V882)     
IF11_BURO1  (Q1BRW9)     
IF12_BURO1  (Q1BNL1)     
IF13_BURO1  (Q1BK87)     
IF11_BURP0  (A3NSU7)     
IF12_BURP0  (A3P092)     
IF11_BURP1  (Q3JUP8)     
IF12_BURP1  (Q3JMT4)     
IF11_BURP6  (A3N759)     
IF12_BURP6  (A3NEF8)     
IF11_BURPS  (Q63W31)     
IF12_BURPS  (Q63Q32)     
IF1_BURTA   (Q2SU48)     
IF11_BURVG  (A4JAR1)     
IF12_BURVG  (A4JNX5)     
IF1_CALS4   (Q8R7X7)     
IF1_CALS8   (A4XLQ7)     
IF1_CAMC1   (A7ZFZ1)     
IF1_CAMC5   (A7H0Z3)     
IF1_CAMFF   (A0RM32)     
IF1_CAMHC   (A7HZX5)     
IF1_CAMJ8   (A8FNQ2)     
IF1_CAMJD   (A7H5U1)     
IF1_CAMJE   (Q9PM85)     
IF1_CAMJJ   (A1W1J2)     
IF1_CAMJR   (Q5HSK1)     
IF1_CARHZ   (Q3A9T9)     
IF1_CAUVC   (Q9A5V4)     
IF1_CERS1   (A3PM14)     
IF1_CERS4   (Q3J085)     
IF1_CERS5   (A4WQ41)     
IF1_CHESB   (Q11LY3)     
IF1_CHLAA   (A9WH88)     
IF1_CHLAB   (Q5L5H5)     
IF1_CHLCH   (Q3APJ5)     
IF1_CHLCV   (Q822I3)     
IF1_CHLFF   (Q255F4)     
IF1_CHLL3   (Q3B6E0)     
IF1_CHLMU   (P65107)     
IF1_CHLPD   (A1BJ12)     
IF1_CHLPM   (A4SCT1)     
IF1_CHLPN   (Q9Z9A8)     
IF1_CHLTA   (Q3KM39)     
IF1_CHLTE   (Q8KAJ3)     
IF1_CHLTR   (P65106)     
IF1_CHRFK   (A0M577)     
IF1_CHRSD   (Q1QUS2)     
IF11_CHRVO  (Q7NWT1)     
IF12_CHRVO  (Q7NQH3)     
IF1_CITK8   (A8AIJ9)     
IF1_CLAM3   (A5CU84)     
IF1_CLAMS   (B0RB68)     
IF1_CLOAB   (Q97EK1)     
IF1_CLOB1   (A7FZ49)     
IF1_CLOB8   (A6LPT5)     
IF1_CLOBH   (A5I7I2)     
IF1_CLOBL   (A7GJ50)     
IF1_CLOD6   (Q18CI2)     
IF1_CLOK5   (A5N4S0)     
IF1_CLONN   (A0PXX0)     
IF1_CLOP1   (Q0TMS0)     
IF1_CLOPE   (Q8XHU6)     
IF1_CLOPS   (Q0SQG8)     
IF1_COLP3   (Q480P2)     
IF1_CORDI   (P61685)     
IF1_COREF   (Q8FS36)     
IF1_CORGB   (A4QBQ3)     
IF1_CORGL   (Q8NSV7)     
IF1_CORJK   (Q4JTB8)     
IF1_COXBN   (A9KFQ0)     
IF1_COXBR   (A9NDR7)     
IF1_COXBU   (Q83CD1)     
IF1_CROS8   (A7MEQ6)     
IF11_CUPMC  (Q1LLC3)     
IF12_CUPMC  (Q1LI58)     
IF13_CUPMC  (Q1LCU1)     
IF11_CUPNH  (Q0K8Z9)     
IF12_CUPNH  (Q0K640)     
IF13_CUPNH  (Q0JZW8)     
IF11_CUPPJ  (Q46ZB3)     
IF12_CUPPJ  (Q46QQ0)     
IF13_CUPPJ  (Q46P49)     
IF1_CUTAK   (Q6A6Q6)     
IF1_CYTH3   (Q11QD4)     
IF11_DECAR  (Q47J82)     
IF12_DECAR  (Q47IR5)     
IF1_DEHM1   (Q3Z958)     
IF1_DEHMB   (A5FRW7)     
IF1_DEHMC   (Q3ZZQ1)     
IF1_DEIGD   (Q1IX94)     
IF1_DEIRA   (Q9RSK1)     
IF1_DESHY   (Q250K9)     
IF1_DESPS   (Q6AP48)     
IF1_DESRM   (A4J134)     
IF11_DESVH  (P61686)     
IF12_DESVH  (P61687)     
IF11_DESVV  (A1VC77)     
IF12_DESVV  (A1VHP4)     
IF1_DICNV   (A5EXE7)     
IF1_DINSH   (A8LS17)     
IF1_ECO24   (A7ZJV1)     
IF1_ECO57   (P69224)     
IF1_ECOHS   (A7ZYI7)     
IF1_ECOL5   (Q0TJG6)     
IF1_ECOL6   (P69223)     
IF1_ECOLI   (P69222)     
IF1_ECOUT   (Q1RE30)     
IF1_ENT38   (A4W8Q8)     
IF1_ENTFA   (Q839E2)     
IF1_ERYLH   (Q2NCK2)     
IF1_FERNB   (A7HM29)     
IF1_FLAJ1   (A5FN00)     
IF1_FLAPJ   (A6GZ78)     
IF1_FRAAA   (Q0RRP8)     
IF1_FRACC   (Q2JFF3)     
IF1_FRAT1   (Q14HN8)     
IF1_FRATF   (A7NCT0)     
IF1_FRATH   (Q2A2Y6)     
IF1_FRATN   (A0Q669)     
IF1_FRATO   (Q0BLG2)     
IF1_FRATT   (Q5NG86)     
IF1_FRATW   (A4IXS1)     
IF1_FUSNN   (Q8R5W2)     
IF1_GEOKA   (Q5L3R6)     
IF1_GEOMG   (Q39UK8)     
IF1_GEOSL   (P61688)     
IF1_GEOTN   (A4IJL1)     
IF1_GEOUR   (A5G3G6)     
IF1_GLOVI   (Q7NNJ8)     
IF1_GLUDA   (A9HFM1)     
IF1_GLUOX   (Q5FS72)     
IF1_GRABC   (Q0BTC4)     
IF1_HAEDU   (Q7VNW5)     
IF1_HAEI8   (Q4QN00)     
IF1_HAEIE   (A5U9U6)     
IF1_HAEIG   (A5UH53)     
IF1_HAEIN   (P44322)     
IF1_HAHCH   (Q2SJL1)     
IF1_HALH5   (O50630)     
IF1_HALHL   (A1WWV4)     
IF1_HELAH   (Q17ZB8)     
IF1_HELHP   (Q7VGC3)     
IF1_HELPH   (Q1CRW2)     
IF1_HELPJ   (P65109)     
IF1_HELPY   (P65108)     
IF1_HERAR   (A4G9R7)     
IF1_HISS1   (Q0I2S8)     
IF1_HYDCU   (Q31GL5)     
IF1_HYPNA   (Q0C2H2)     
IF1_IDILO   (Q5R0C5)     
IF1_JANMA   (A6T3I3)     
IF1_JANSC   (Q28NC3)     
IF1_KINRD   (A6W5W1)     
IF1_KLEP7   (A6T6Y1)     
IF1_KORVE   (Q1IS99)     
IF1_LACAC   (Q5FM69)     
IF1_LACDA   (Q1GBJ6)     
IF1_LACDB   (Q04BZ3)     
IF1_LACGA   (Q046A4)     
IF1_LACH4   (A8YXM7)     
IF1_LACJO   (P61689)     
IF1_LACLA   (P0A3K4)     
IF1_LACLC   (P0A3K5)     
IF1_LACLM   (A2RNN1)     
IF1_LACLS   (Q02W47)     
IF1_LACP3   (Q035A5)     
IF1_LACP7   (A9KJH1)     
IF1_LACPL   (Q88XW4)     
IF1_LATSS   (Q38UT3)     
IF1_LEGPA   (Q5X4E2)     
IF1_LEGPC   (A5ICS5)     
IF1_LEGPH   (Q5ZUM3)     
IF1_LEGPL   (Q5WVS7)     
IF1_LEIXX   (Q6AD17)     
IF1_LEPBJ   (Q04PW0)     
IF1_LEPBL   (Q055C2)     
IF1_LEPIC   (P61690)     
IF1_LEPIN   (Q9XD14)     
IF1_LEUMM   (Q03ZM4)     
IF1_LEVBA   (Q03PX9)     
IF1_LIGS1   (Q1WSB2)     
IF1_LIMRD   (A5VLI3)     
IF1_LISIN   (P65111)     
IF1_LISMF   (Q71WG8)     
IF1_LISMO   (P65110)     
IF1_LISW6   (A0ALU6)     
IF1_MAGMM   (A0L5J6)     
IF1_MAGSA   (Q2W1Y2)     
IF1_MALP2   (Q8EUD5)     
IF1_MANSM   (Q65UU9)     
IF1_MARMM   (Q0AQL4)     
IF1_MARN8   (A1U1H0)     
IF1_MESFL   (Q6F1X1)     
IF1_MESH2   (Q601J2)     
IF1_MESH7   (Q4A8J3)     
IF1_MESHJ   (Q4AAG2)     
IF1_MESM1   (Q6KI33)     
IF1_METCA   (Q607H0)     
IF11_METFK  (Q1H4L6)     
IF12_METFK  (Q1H3X8)     
IF1_METPP   (A2SLD6)     
IF1_MOOTA   (Q2RFS1)     
IF1_MYCA1   (A0QKV0)     
IF1_MYCBO   (P0A5H6)     
IF1_MYCBP   (A1KPE8)     
IF1_MYCCT   (Q2SRH5)     
IF1_MYCGA   (Q9R6P8)     
IF1_MYCGE   (P47419)     
IF1_MYCGI   (A4TEI3)     
IF1_MYCLE   (P0A5H7)     
IF1_MYCPA   (P61691)     
IF1_MYCPN   (Q50298)     
IF1_MYCPU   (Q98Q04)     
IF1_MYCS2   (A0QSL3)     
IF1_MYCS5   (Q4A5I6)     
IF1_MYCSJ   (A3PVL3)     
IF1_MYCSK   (A1UBY0)     
IF1_MYCSP   (P38037)     
IF1_MYCSS   (Q1BD13)     
IF1_MYCTA   (A5U8D8)     
IF1_MYCTO   (P9WKK2)     
IF1_MYCTU   (P9WKK3)     
IF1_MYCUA   (A0PMB2)     
IF1_MYCVP   (A1T515)     
IF1_MYXXD   (Q1D753)     
IF1_NEIG1   (Q5F5U8)     
IF1_NEIM0   (A9M3U5)     
IF1_NEIMA   (P65112)     
IF1_NEIMB   (P65113)     
IF1_NEIMF   (A1KRJ4)     
IF1_NITEC   (Q0AIH5)     
IF1_NITEU   (Q820Q7)     
IF1_NITHX   (Q1QR57)     
IF1_NITMU   (Q2YAX6)     
IF1_NITOC   (Q3J7Z5)     
IF1_NITSB   (A6Q1J9)     
IF1_NITWN   (Q3SVW2)     
IF1_NOCFA   (Q5Z1L4)     
IF1_NOCSJ   (A1SNJ3)     
IF1_NOSS1   (Q8YPJ9)     
IF11_NOVAD  (Q2G9H0)     
IF12_NOVAD  (Q2G552)     
IF1_OCEIH   (Q8ETW2)     
IF1_OENOB   (Q04G64)     
IF11_OLEA2  (Q30V89)     
IF12_OLEA2  (Q30UT5)     
IF1_ONYPE   (P61692)     
IF1_PAEAT   (A1R8R9)     
IF11_PARC0  (A1TL44)     
IF12_PARC0  (A1TRD3)     
IF1_PARD8   (A6LEG9)     
IF1_PARDP   (A1B2Z3)     
IF1_PARL1   (A7HQG6)     
IF1_PARUW   (Q6MDN1)     
IF11_PARXL  (Q13TJ1)     
IF12_PARXL  (Q13M01)     
IF1_PASMU   (P57898)     
IF1_PECAS   (Q6D3U1)     
IF1_PEDPA   (Q03ED8)     
IF1_PELPD   (A1APV4)     
IF1_PELTS   (A5D5E3)     
IF1_PELUB   (Q4FNE1)     
IF1_PETMO   (A9BFZ5)     
IF1_PHOLL   (P65114)     
IF1_PHOPR   (Q6LT12)     
IF11_POLAQ  (A4SUY2)     
IF12_POLAQ  (A4SWE1)     
IF1_POLNA   (A1VKX0)     
IF11_POLSJ  (Q12G82)     
IF12_POLSJ  (Q12DT7)     
IF1_PORGI   (Q7MTN5)     
IF1_PSE14   (Q48H67)     
IF1_PSEA6   (Q15T99)     
IF1_PSEA7   (A6V4G7)     
IF1_PSEAB   (Q02NB1)     
IF1_PSEAE   (P65116)     
IF1_PSEE4   (Q1IBD7)     
IF1_PSEF5   (Q4K9U9)     
IF1_PSELT   (A8F4T4)     
IF1_PSEMY   (A4XUY2)     
IF1_PSEP1   (A5W1G9)     
IF1_PSEPF   (Q3KA77)     
IF1_PSEPG   (B0KLX5)     
IF1_PSEPK   (P65117)     
IF1_PSESM   (Q87ZS2)     
IF1_PSET1   (Q3IH34)     
IF1_PSEU2   (Q4ZRK8)     
IF1_PSYA2   (Q4FRV1)     
IF1_PSYCK   (Q1QAF7)     
IF1_PSYIN   (A1SSY1)     
IF1_PSYWF   (A5WGT1)     
IF11_RALN1  (Q8XV33)     
IF12_RALN1  (Q8XX77)     
IF1_RENSM   (A9WSR5)     
IF1_RHIEC   (Q2KCN5)     
IF1_RHIJ3   (Q1MLP3)     
IF1_RHILO   (Q989F0)     
IF1_RHIME   (Q92S23)     
IF1_RHIWR   (A5VDT7)     
IF1_RHOBA   (Q7UEY5)     
IF1_RHOJR   (Q0S3F2)     
IF1_RHOP2   (Q2IZ60)     
IF1_RHOPA   (P61693)     
IF1_RHOPB   (Q210E7)     
IF1_RHOPS   (Q133K4)     
IF1_RHORT   (Q2RWM9)     
IF1_RICAH   (A8GQ12)     
IF1_RICB8   (A8GXY8)     
IF1_RICBR   (Q1RK89)     
IF1_RICCK   (A8F030)     
IF1_RICCN   (Q92G58)     
IF1_RICFE   (Q4UJZ6)     
IF1_RICM5   (A8F2V3)     
IF1_RICPR   (Q9ZCE3)     
IF1_RICRO   (B0BVE3)     
IF1_RICRS   (A8GTV5)     
IF1_RICTY   (Q68VT5)     
IF1_ROSCS   (A7NR41)     
IF1_ROSDO   (Q169N4)     
IF1_ROSS1   (A5USG7)     
IF1_RUBXD   (Q1AU52)     
IF1_RUEPO   (Q5LLF0)     
IF1_RUEST   (Q1GLE0)     
IF1_RUTMC   (A1AXB0)     
IF1_SACD2   (Q21K31)     
IF1_SALAI   (A8M505)     
IF1_SALAR   (A9MI00)     
IF1_SALCH   (Q57R48)     
IF1_SALPA   (Q5PGJ4)     
IF1_SALPB   (A9N7Y7)     
IF1_SALRD   (Q2S3P3)     
IF1_SALTI   (P69225)     
IF1_SALTY   (P69226)     
IF1_SERP5   (A8GCD9)     
IF1_SHEAM   (A1S7A4)     
IF1_SHEB5   (A3D5F1)     
IF1_SHEB8   (A6WP62)     
IF1_SHEB9   (A9L4G2)     
IF1_SHEDO   (Q12N57)     
IF1_SHEFN   (Q081G6)     
IF1_SHELP   (A3QD86)     
IF1_SHEON   (Q8EDW6)     
IF1_SHEPA   (A8H5L4)     
IF1_SHEPC   (A4Y7L4)     
IF1_SHESA   (A0KW18)     
IF1_SHESH   (A8FUH5)     
IF1_SHESM   (Q0HJP2)     
IF1_SHESR   (Q0HVY8)     
IF1_SHESW   (A1RIX4)     
IF1_SHIBS   (Q323L9)     
IF1_SHIDS   (Q32E03)     
IF1_SHIF8   (Q0T8P2)     
IF1_SHIFL   (P69227)     
IF1_SHISS   (Q3Z3N6)     
IF1_SHOC1   (Q5WLN9)     
IF1_SINMW   (A6U5Z0)     
IF1_SODGM   (Q2NTZ7)     
IF1_SOLUE   (Q01QC0)     
IF1_SPHAL   (Q1GRU4)     
IF1_SPIKU   (P61694)     
IF1_STAA1   (A7X5D0)     
IF1_STAA2   (A6U3V3)     
IF1_STAA3   (Q2FER1)     
IF1_STAA8   (Q2FW28)     
IF1_STAA9   (A5IV12)     
IF1_STAAB   (Q2YYL9)     
IF1_STAAC   (Q5HDY0)     
IF1_STAAE   (A6QJ70)     
IF1_STAAM   (P65118)     
IF1_STAAN   (P65119)     
IF1_STAAR   (Q6GEK5)     
IF1_STAAS   (Q6G793)     
IF1_STAAT   (A8Z335)     
IF1_STAAW   (P65120)     
IF1_STAEQ   (Q5HM21)     
IF1_STAES   (Q8CRI1)     
IF1_STAHJ   (Q4L892)     
IF1_STAS1   (Q49ZE6)     
IF1_STRA1   (Q3K3U7)     
IF1_STRA3   (P65126)     
IF1_STRA5   (P65127)     
IF11_STRAW  (P60516)     
IF12_STRAW  (Q82QK2)     
IF1_STRCO   (P60515)     
IF1_STRGC   (A8AZK3)     
IF1_STRMU   (Q8DS34)     
IF1_STRP1   (P65123)     
IF1_STRP2   (Q04ML4)     
IF1_STRP3   (P0DB82)     
IF1_STRP6   (Q5XEB3)     
IF1_STRP8   (P65125)     
IF1_STRPB   (Q1JE37)     
IF1_STRPC   (Q1JNZ5)     
IF1_STRPD   (Q1JJ39)     
IF1_STRPF   (Q1J8Z1)     
IF1_STRPG   (A2RC36)     
IF1_STRPM   (Q48VS7)     
IF1_STRPN   (P65121)     
IF1_STRPQ   (P0DB83)     
IF1_STRR6   (P65122)     
IF1_STRS2   (A4VYR5)     
IF1_STRSV   (A3CK86)     
IF1_STRSY   (A4VSH5)     
IF1_STRT1   (Q5LXT3)     
IF1_STRT2   (Q5M2D5)     
IF1_STRTD   (Q03IH3)     
IF1_STUS1   (A4VLV5)     
IF1_SULDN   (Q30TU3)     
IF1_SULNB   (A6QCR9)     
IF11_SYMTH  (Q67QQ3)     
IF12_SYMTH  (Q67JW6)     
IF1_SYNAS   (Q2LQB5)     
IF1_SYNC1   (Q3A4P9)     
IF1_SYNFM   (A0LIL3)     
IF1_SYNJA   (Q2JV98)     
IF1_SYNJB   (Q2JIK6)     
IF1_SYNWW   (Q0AUK4)     
IF1_SYNY3   (P73301)     
IF1_THEFY   (Q47LL7)     
IF1_THEM4   (A6LLN6)     
IF1_THEMA   (P56866)     
IF1_THEP1   (A5IMA6)     
IF1_THET2   (P61695)     
IF1_THET8   (Q5SHR1)     
IF1_THETH   (Q8KLI6)     
IF1_THEVB   (Q8DML3)     
IF11_THIDA  (Q3SLM8)     
IF12_THIDA  (Q3SIV9)     
IF1_TREDE   (P61696)     
IF1_TREPA   (O83135)     
IF1_TRIEI   (Q110C7)     
IF1_TRIV2   (Q3MFA1)     
IF1_TROW8   (Q83I58)     
IF1_TROWT   (Q83G07)     
IF1_UREPA   (Q9PQN8)     
IF1_VEREI   (A1WSA8)     
IF1_VESOH   (A5CW05)     
IF1_VIBC1   (A7N1L7)     
IF1_VIBC3   (A5F7F3)     
IF1_VIBCH   (P65128)     
IF1_VIBPA   (P65129)     
IF1_VIBVU   (P65130)     
IF1_VIBVY   (Q7MJ42)     
IF1_WIGBR   (Q8D2W3)     
IF1_WOLSU   (Q7M8F3)     
IF1_XANAC   (Q8PL04)     
IF1_XANC5   (Q3BTY1)     
IF1_XANC8   (Q4UUK1)     
IF1_XANCB   (B0RT36)     
IF1_XANCP   (Q8P997)     
IF1_XANOM   (Q2P2R1)     
IF1_XANOR   (Q5GZR5)     
IF1_XYLFA   (Q9PDD4)     
IF1_XYLFT   (Q87DL6)     
IF1_YERE8   (A1JMD0)     
IF1_YERP3   (A7FJZ1)     
IF1_YERPA   (Q1CA94)     
IF1_YERPE   (P65115)     
IF1_YERPN   (Q1CGE2)     
IF1_YERPP   (A4TN38)     
IF1_YERPS   (Q66CK8)     
IF1_ZYMMO   (Q5NNS2)     

IF1C_ANEMR  (B0YPR0)     
IF1C_EPIVI  (P30070)     

IF1C_ACOAM  (A9LYD5)     
IF1C_ACOCL  (Q3V4Z9)     
IF1C_ADICA  (Q85FI8)     
IF1C_AGRST  (A1EA43)     
IF1C_AMBTC  (Q95GN9)     
IF1C_ANGEV  (A2T368)     
IF1C_ANTAG  (Q85C77)     
IF1C_ANTMA  (P69041)     
IF1C_ARATH  (O82499)     
IF1C_ASACA  (Q95GN5)     
IF1C_BOROF  (Q95GM3)     
IF1C_BREMA  (Q95GM9)     
IF1C_BUXMI  (A6MM71)     
IF1C_CABCA  (Q95GN8)     
IF1C_CALFG  (Q7YJU4)     
IF1C_CERDE  (A8SED8)     
IF1C_CERJA  (Q95GN3)     
IF1C_CHAGL  (Q8M9V4)     
IF1C_CHAVU  (Q1ACG4)     
IF1C_CHLAT  (Q19VB4)     
IF1C_CHLSC  (A6MMF7)     
IF1C_CHLVU  (P56290)     
IF1C_COFAR  (A0A370)     
IF1C_CORMA  (Q95GM7)     
IF1C_CUCSA  (A5J1W9)     
IF1C_CYCTA  (A6H5L6)     
IF1C_DAUCA  (Q0G9S7)     
IF1C_DIOEL  (A6MMP2)     
IF1C_DRIGR  (Q06GW2)     
IF1C_FOUSP  (Q7ICQ5)     
IF1C_GAREL  (Q95GM4)     
IF1C_HEDHE  (Q95GM6)     
IF1C_HELAN  (Q1KXS4)     
IF1C_HORVU  (A1E9M5)     
IF1C_HUPLU  (Q5SD15)     
IF1C_ILLOL  (A6MMX9)     
IF1C_ILLPA  (Q95GN7)     
IF1C_JASNU  (Q06R97)     
IF1C_LACSA  (Q332U2)     
IF1C_LAMPU  (P69042)     
IF1C_LEUFR  (Q95GM2)     
IF1C_LIRTU  (Q0G9I4)     
IF1C_LOLPR  (A8Y9C1)     
IF1C_MAIZE  (P46618)     
IF1C_MARPO  (P12134)     
IF1C_MESCR  (Q94KR8)     
IF1C_MESVI  (Q9MUU7)     
IF1C_MONCA  (Q94PL3)     
IF1C_NANDO  (Q09FS6)     
IF1C_NEPOL  (Q9TL25)     
IF1C_NUPAD  (A1XFZ0)     
IF1C_NYMAL  (Q6EW17)     
IF1C_ORYNI  (Q6END9)     
IF1C_ORYSA  (P0C378)     
IF1C_ORYSI  (P0C379)     
IF1C_ORYSJ  (P0C380)     
IF1C_OSTTA  (Q0P3L2)     
IF1C_PANGI  (Q68RX2)     
IF1C_PHAAO  (Q3BAK2)     
IF1C_PHYPA  (Q6YXL2)     
IF1C_PINKO  (Q85WZ7)     
IF1C_PINTH  (P41632)     
IF1C_PIPCE  (Q06GM5)     
IF1C_PLAOC  (Q09G11)     
IF1C_PSINU  (Q8WHY8)     
IF1C_SACHY  (Q6L367)     
IF1C_SACOF  (Q6ENS9)     
IF1C_SAMCA  (Q95GM5)     
IF1C_SOLLC  (Q94KR9)     
IF1C_SORBI  (A1E9V9)     
IF1C_SOYBN  (Q94KR7)     
IF1C_SPIMX  (O98459)     
IF1C_SPIOL  (P08698)     
IF1C_STAPU  (Q32RV0)     
IF1C_TETOB  (Q1KVV7)     
IF1C_TOBAC  (P12136)     
IF1C_TUPAK  (Q3ZJ80)     
IF1C_VITVI  (Q0ZIY4)     
IF1C_WHEAT  (P58272)     
IF1C_ZYGCR  (Q32RN1)     


==========
IF3 (IF-3)
==========

IF3_ACAM1   (B0CD77)     
IF3_ACIAD   (Q6F861)     
IF3_ACIBS   (B0VV99)     
IF3_ACIBY   (B0V5P1)     
IF3_ALISL   (B6EN33)     
IF3_ANAD2   (B8J830)     
IF3_ANADE   (Q2IJB8)     
IF3_ANADF   (A7HBI7)     
IF3_ANASK   (B4UAN5)     
IF3_AQUAE   (O67653)     
IF3_AROAE   (Q5P7X6)     
IF3_AZOC5   (A8HWL0)     
IF3_AZOPC   (B6YQ94)     
IF3_AZOVI   (Q8RQ01)     
IF3_BACAN   (Q81L15)     
IF3_BACC1   (Q72ZG2)     
IF3_BACCR   (Q812P6)     
IF3_BACCZ   (Q633M1)     
IF3_BACFN   (Q5LEQ5)     
IF3_BACFR   (Q64VP1)     
IF3_BACSU   (P55872)     
IF3_BACTN   (Q8AAP1)     
IF3_BARBK   (A1UUD5)     
IF3_BARHE   (Q6G570)     
IF3_BARQU   (Q6G1I3)     
IF3_BART1   (A9ILC8)     
IF3_BLOFL   (Q7VR70)     
IF3_BORAP   (Q0SNX3)     
IF3_BORBR   (Q7WKF6)     
IF3_BORBU   (O51208)     
IF3_BORBZ   (B7J1C3)     
IF3_BORDL   (B5RL16)     
IF3_BORGP   (Q662H4)     
IF3_BORHD   (B2RZQ1)     
IF3_BORPA   (Q7W911)     
IF3_BORPE   (Q7VY63)     
IF3_BORRA   (B5RR09)     
IF3_BORT9   (A1QYY5)     
IF3_BRADU   (Q89WH7)     
IF3_BRUA4   (A6WX21)     
IF3_BRUAB   (P0A3L0)     
IF3_BRUME   (P0A3K8)     
IF3_BRUSU   (P0A3K9)     
IF3_BUCA5   (B8D8S7)     
IF3_BUCAI   (P57226)     
IF3_BUCAP   (P46243)     
IF3_BUCAT   (B8D731)     
IF3_BUCBP   (P59446)     
IF3_CALS4   (Q8R9C2)     
IF3_CAMC1   (A7ZAZ8)     
IF3_CAMC5   (A7GVZ3)     
IF3_CAMFF   (A0RRI8)     
IF3_CAMHC   (A7I108)     
IF3_CAMJ8   (A8FK08)     
IF3_CAMJD   (A7H1S1)     
IF3_CAMJE   (Q9PIS2)     
IF3_CAMJJ   (A1VXT6)     
IF3_CAMJR   (Q5HWW2)     
IF3_CAMLR   (B9KEB2)     
IF3_CAUSK   (B0SY03)     
IF3_CAUVC   (Q9A9D9)     
IF3_CAUVN   (B8H312)     
